,일자,종가,시가,고가,저가
0,2021-06-25,14360.39,14400.81,14409.08,14337.65
1,2021-06-24,14369.71,14357.27,14414.46,14333.7
2,2021-06-23,14271.73,14263.38,14317.66,14246.3
3,2021-06-22,14253.27,14138.29,14269.77,14121.0
4,2021-06-21,14141.48,14047.42,14150.78,13960.04
5,2021-06-18,14030.38,14096.93,14129.22,14009.04
6,2021-06-17,14161.35,13999.13,14196.21,13998.93
7,2021-06-16,14039.68,14085.55,14129.69,13903.73
8,2021-06-15,14072.86,14166.64,14171.02,14052.16
9,2021-06-14,14174.14,14083.47,14175.45,14056.67
10,2021-06-11,14069.42,14030.85,14069.42,14006.59
11,2021-06-10,14020.33,13933.88,14031.19,13904.4
12,2021-06-09,13911.75,13980.23,14003.5,13906.45
13,2021-06-08,13924.91,13946.32,13981.72,13831.98
14,2021-06-07,13881.72,13802.82,13889.11,13784.89
15,2021-06-04,13814.49,13697.25,13826.82,13692.01
16,2021-06-03,13614.51,13655.75,13684.13,13548.93
17,2021-06-02,13756.33,13743.24,13775.89,13689.74
18,2021-06-01,13736.48,13829.06,13836.17,13678.77
19,2021-05-28,13748.74,13792.05,13820.87,13747.61
20,2021-05-27,13736.28,13742.59,13776.52,13701.63
21,2021-05-26,13738.0,13693.94,13750.16,13679.59
22,2021-05-25,13657.17,13721.54,13751.14,13631.8
23,2021-05-24,13661.17,13557.21,13708.85,13551.01
24,2021-05-21,13470.99,13616.19,13616.58,13463.27
25,2021-05-20,13535.74,13356.63,13563.52,13355.71
26,2021-05-19,13299.74,13078.19,13304.61,13072.23
27,2021-05-18,13303.64,13416.9,13485.35,13299.93
28,2021-05-17,13379.05,13368.8,13399.17,13265.4
29,2021-05-14,13429.98,13255.65,13460.88,13242.97
30,2021-05-13,13124.99,13150.94,13247.87,13007.24
31,2021-05-12,13031.68,13215.49,13288.61,13002.54
32,2021-05-11,13389.43,13115.85,13423.31,13107.67
33,2021-05-10,13401.86,13687.6,13687.93,13401.75
34,2021-05-07,13752.24,13723.09,13828.62,13690.75
35,2021-05-06,13632.84,13557.83,13635.74,13439.39
36,2021-05-05,13582.43,13731.13,13753.05,13553.93
37,2021-05-04,13633.5,13774.51,13795.57,13485.59
38,2021-05-03,13895.12,14031.77,14042.12,13881.51
39,2021-04-30,13962.68,13970.73,14084.76,13941.63
40,2021-04-29,14082.55,14204.52,14211.57,13952.8
41,2021-04-28,14051.03,14082.78,14133.65,14034.7
42,2021-04-27,14090.22,14170.91,14171.24,14064.28
43,2021-04-26,14138.78,14052.38,14154.03,14019.5
44,2021-04-23,14016.81,13861.37,14062.74,13856.83
45,2021-04-22,13818.41,13952.57,14015.87,13771.04
46,2021-04-21,13950.22,13745.77,13951.35,13706.86
47,2021-04-20,13786.27,13894.46,13927.67,13698.67
48,2021-04-19,13914.77,13984.58,14041.79,13842.57
49,2021-04-16,14052.34,14059.11,14062.5,13977.05
50,2021-04-15,14038.76,13983.23,14049.13,13970.42
51,2021-04-14,13857.84,14004.08,14033.63,13839.04
52,2021-04-13,13996.1,13902.45,14011.51,13902.45
53,2021-04-12,13850.0,13854.44,13877.0,13783.95
54,2021-04-09,13900.19,13787.02,13905.41,13748.35
55,2021-04-08,13829.31,13796.89,13830.14,13758.71
56,2021-04-07,13688.84,13675.3,13733.03,13653.59
57,2021-04-06,13698.38,13681.67,13776.71,13674.28
58,2021-04-05,13705.59,13594.9,13720.58,13582.76
59,2021-04-01,13480.11,13414.33,13487.08,13404.18
60,2021-03-31,13246.87,13122.57,13325.54,13118.38
61,2021-03-30,13045.39,13008.8,13075.75,12922.57
62,2021-03-29,13059.65,13103.97,13143.41,12968.16
63,2021-03-26,13138.73,12996.03,13149.55,12878.72
64,2021-03-25,12977.68,12844.58,13021.86,12786.81
65,2021-03-24,12961.89,13289.24,13292.92,12961.35
66,2021-03-23,13227.7,13381.44,13405.15,13202.43
67,2021-03-22,13377.54,13278.78,13455.64,13278.78
68,2021-03-19,13215.24,13119.9,13252.37,13039.45
69,2021-03-18,13116.17,13349.2,13384.46,13101.92
70,2021-03-17,13525.2,13336.92,13595.0,13272.69
71,2021-03-16,13471.57,13523.17,13620.71,13397.09
72,2021-03-15,13459.71,13323.47,13460.35,13272.5
73,2021-03-12,13319.87,13222.81,13324.69,13158.72
74,2021-03-11,13398.67,13273.31,13433.62,13246.33
75,2021-03-10,13068.83,13234.73,13277.11,13035.44
76,2021-03-09,13073.83,12923.07,13151.54,12882.49
77,2021-03-08,12609.16,12904.26,13001.0,12599.23
78,2021-03-05,12920.15,12860.04,12941.21,12397.05
79,2021-03-04,12723.47,12953.99,13068.71,12553.96
80,2021-03-03,12997.75,13336.25,13372.52,12995.07
81,2021-03-02,13358.79,13599.45,13601.33,13352.0
82,2021-03-01,13588.83,13406.16,13596.59,13362.66
83,2021-02-26,13192.35,13232.9,13368.06,13024.53
84,2021-02-25,13119.43,13512.64,13602.86,13066.38
85,2021-02-24,13597.97,13400.25,13607.36,13286.59
86,2021-02-23,13465.2,13262.61,13526.09,13003.98
87,2021-02-22,13533.05,13714.2,13757.06,13530.96
88,2021-02-19,13874.46,13929.2,13985.58,13842.6
89,2021-02-18,13865.36,13814.67,13905.96,13714.35
90,2021-02-02,13612.78,13543.1,13652.7,13535.86
91,2021-02-01,13403.39,13226.18,13431.46,13132.47
92,2021-01-29,13070.7,13284.72,13322.0,12985.05
93,2021-01-28,13337.16,13323.29,13507.64,13316.52
94,2021-01-27,13270.6,13486.58,13538.42,13192.91
95,2021-01-26,13626.07,13681.72,13702.69,13603.19
96,2021-01-25,13635.99,13681.21,13728.98,13368.68
97,2021-01-22,13543.06,13474.81,13567.14,13463.66
98,2021-01-21,13530.92,13521.48,13560.35,13454.08
99,2021-01-20,13457.25,13342.55,13486.13,13329.77
100,2021-01-19,13197.18,13132.73,13206.86,13078.7
101,2021-01-15,12998.5,13099.9,13139.83,12949.76
102,2021-01-14,13112.64,13174.76,13220.16,13098.41
103,2021-01-13,13128.95,13088.01,13171.15,13051.07
104,2021-01-12,13072.43,13062.06,13105.04,12963.92
105,2021-01-11,13036.43,13048.78,13138.27,12999.51
106,2021-01-08,13201.98,13160.22,13208.09,13036.55
107,2021-01-07,13067.48,12867.34,13090.91,12867.34
108,2021-01-06,12740.79,12666.15,12909.63,12649.99
109,2021-01-05,12818.96,12665.65,12828.27,12665.65
110,2021-01-04,12698.45,12958.52,12958.73,12543.24
111,2020-12-31,12888.28,12877.09,12902.07,12821.23
112,2020-12-30,12870.0,12906.51,12924.93,12857.76
113,2020-12-29,12850.22,12965.39,12973.33,12821.96
114,2020-12-28,12899.42,12914.64,12930.89,12827.45
115,2020-12-24,12804.73,12791.54,12833.55,12767.64
116,2020-12-23,12771.11,12834.94,12841.92,12758.67
117,2020-12-22,12807.92,12785.22,12840.57,12695.31
118,2020-12-21,12742.52,12596.14,12751.27,12525.22
119,2020-12-18,12755.64,12804.93,12809.6,12654.61
120,2020-12-17,12764.75,12730.78,12765.25,12696.35
121,2020-12-16,12658.19,12611.04,12687.32,12566.38
122,2020-12-15,12595.06,12543.26,12596.13,12465.42
123,2020-12-14,12440.04,12447.44,12543.0,12432.71
124,2020-12-11,12377.87,12336.79,12383.5,12246.77
125,2020-12-10,12405.81,12247.55,12431.56,12214.74
126,2020-12-09,12338.95,12591.69,12607.14,12290.78
127,2020-12-08,12582.77,12503.17,12594.54,12453.21
128,2020-12-07,12519.95,12461.0,12536.23,12460.55
129,2020-12-04,12464.23,12399.32,12464.23,12376.44
130,2020-12-03,12377.18,12369.26,12439.02,12356.99
131,2020-12-02,12349.37,12285.75,12360.06,12217.35
132,2020-12-01,12355.11,12313.36,12405.79,12263.93
133,2020-11-30,12198.74,12224.25,12244.65,12027.16
134,2020-11-27,12205.85,12159.18,12236.23,12154.57
135,2020-11-25,12094.4,12053.89,12114.77,12020.95
136,2020-11-24,12036.79,11939.33,12049.88,11863.45
137,2020-11-23,11880.63,11916.76,11949.33,11796.53
138,2020-11-20,11854.97,11892.7,11935.47,11852.51
139,2020-11-19,11904.71,11779.04,11912.64,11760.98
140,2020-11-18,11801.6,11896.06,11942.49,11799.96
141,2020-11-17,11899.34,11913.35,11950.18,11852.41
142,2020-11-16,11924.13,11847.11,11937.72,11814.89
143,2020-11-13,11829.29,11794.94,11849.79,11715.52
144,2020-11-12,11709.59,11802.5,11847.84,11666.37
145,2020-11-11,11786.43,11656.65,11793.58,11638.9
146,2020-11-10,11553.86,11622.44,11665.87,11424.61
147,2020-11-09,11713.78,12046.66,12108.07,11703.49
148,2020-11-06,11895.23,11869.9,11920.54,11737.13
149,2020-11-05,11890.93,11816.33,11924.28,11784.15
150,2020-11-04,11590.78,11443.78,11663.31,11394.21
151,2020-11-03,11160.57,11038.66,11213.92,11004.84
152,2020-11-02,10957.61,11010.45,11071.08,10830.95
153,2020-10-30,10911.59,11103.47,11129.81,10822.57
154,2020-10-29,11185.59,11064.47,11287.63,11030.19
155,2020-10-28,11004.87,11230.9,11249.95,10999.07
156,2020-10-27,11431.35,11409.34,11465.06,11361.86
157,2020-10-26,11358.94,11440.64,11545.63,11221.06
158,2020-10-23,11548.28,11536.01,11548.85,11434.86
159,2020-10-22,11506.01,11526.98,11548.77,11369.29
160,2020-10-21,11484.69,11530.39,11613.79,11476.08
161,2020-10-20,11516.49,11531.83,11632.89,11471.24
162,2020-10-19,11478.88,11732.34,11778.11,11454.57
163,2020-10-16,11671.56,11761.83,11827.42,11648.53
164,2020-10-15,11713.87,11559.88,11740.68,11559.1
165,2020-10-14,11768.73,11889.07,11939.92,11714.35
166,2020-10-13,11863.9,11901.76,11946.98,11821.83
167,2020-10-12,11876.26,11732.33,11965.54,11704.13
168,2020-10-09,11579.94,11487.6,11581.23,11476.66
169,2020-10-08,11420.98,11443.35,11448.23,11384.33
170,2020-10-07,11364.6,11271.68,11380.56,11258.35
171,2020-10-06,11154.6,11314.53,11392.41,11124.45
172,2020-10-05,11332.49,11169.11,11335.21,11162.52
173,2020-10-02,11075.02,11082.53,11244.87,11033.69
174,2020-10-01,11326.51,11291.99,11344.13,11240.53
175,2020-09-30,11167.51,11092.9,11277.96,11092.9
176,2020-09-29,11085.25,11109.0,11153.23,11065.63
177,2020-09-28,11117.53,11084.38,11120.8,11019.14
178,2020-09-25,10913.56,10680.46,10939.55,10639.98
179,2020-09-24,10672.27,10551.02,10799.55,10520.22
180,2020-09-09,11141.56,11064.77,11217.69,10970.45
181,2020-09-08,10847.69,10900.7,11131.5,10837.2
182,2020-09-04,11313.13,11396.24,11531.19,10875.87
183,2020-09-03,11458.1,11861.9,11894.4,11361.36
184,2020-09-02,12056.44,12047.26,12074.07,11836.18
185,2020-09-01,11939.67,11850.96,11945.72,11794.78
186,2020-08-31,11775.46,11718.81,11829.84,11697.42
187,2020-08-28,11695.63,11689.28,11708.77,11634.77
188,2020-08-27,11625.34,11688.2,11730.01,11551.01
189,2020-08-26,11665.06,11516.62,11672.05,11507.46
190,2020-08-25,11466.47,11370.23,11468.26,11343.04
191,2020-08-24,11379.72,11449.25,11462.05,11297.53
192,2020-08-21,11311.8,11258.45,11326.22,11245.44
193,2020-08-20,11264.95,11096.4,11283.62,11090.03
194,2020-08-19,11146.46,11214.8,11257.42,11132.1
195,2020-08-18,11210.84,11170.75,11230.62,11103.83
196,2020-08-17,11129.73,11083.25,11144.53,11080.3
197,2020-08-14,11019.3,11042.24,11058.44,10972.06
198,2020-08-13,11042.5,11026.86,11124.85,11007.5
199,2020-08-12,11012.24,10878.12,11036.72,10877.16
200,2020-08-11,10782.82,10942.66,10989.42,10762.71
201,2020-08-10,10968.36,11033.73,11040.24,10849.46
202,2020-08-07,11010.98,11072.53,11126.04,10920.37
203,2020-08-06,11108.07,10989.98,11121.19,10963.41
204,2020-08-05,10998.4,10967.87,11002.11,10943.72
205,2020-08-04,10941.17,10897.89,10941.91,10852.9
206,2020-08-03,10902.8,10848.64,10927.56,10831.15
207,2020-07-31,10745.28,10741.47,10747.8,10557.7
208,2020-07-30,10587.81,10450.12,10609.59,10412.09
209,2020-07-29,10542.94,10474.7,10567.91,10464.0
210,2020-07-28,10402.09,10509.2,10523.64,10397.87
211,2020-07-27,10536.27,10421.7,10546.44,10399.86
212,2020-07-24,10363.18,10294.41,10418.75,10217.31
213,2020-07-23,10461.42,10689.5,10728.12,10407.87
214,2020-07-22,10706.13,10687.58,10745.32,10627.45
215,2020-07-21,10680.36,10837.88,10839.93,10650.46
216,2020-07-20,10767.09,10526.02,10783.8,10488.04
217,2020-07-17,10503.19,10500.52,10532.62,10421.21
218,2020-07-16,10473.83,10443.87,10499.79,10364.39
219,2020-07-15,10550.49,10576.72,10604.67,10420.54
220,2020-07-14,10488.58,10310.25,10497.83,10182.46
221,2020-07-13,10390.84,10729.92,10824.79,10368.04
222,2020-07-10,10617.44,10545.91,10622.35,10447.01
223,2020-07-09,10547.75,10563.72,10578.1,10379.91
224,2020-07-08,10492.5,10409.35,10494.64,10350.96
225,2020-07-07,10343.89,10412.46,10518.98,10337.98
226,2020-07-06,10433.65,10360.38,10462.05,10354.98
227,2020-07-02,10207.63,10268.67,10310.36,10194.06
228,2020-07-01,10154.63,10063.67,10197.19,10048.04
229,2020-06-30,10058.77,9875.29,10085.59,9863.67
